atom_count,record_count,percent_of_formula_records,contains_target
0,123921591,99.99306222311982,false
1,7359,0.005938020476996126,true
2,431,0.000347776440492639,true
3,296,0.00023884414474668476,true
4,216,0.00017429167319352672,true
5,91,0.00007342843639171727,true
6,83,0.00006697318923640148,true
7,29,0.00002340027093801979,true
8,38,0.00003066242398775007,true
9,9,7.2621530497302796e-6,true
10,17,0.000013717400205046084,true
12,3,2.420717683243427e-6,true
13,1,8.069058944144755e-7,true
14,1,8.069058944144755e-7,true
15,1,8.069058944144755e-7,true
16,1,8.069058944144755e-7,true
17,1,8.069058944144755e-7,true
18,2,1.613811788828951e-6,true
19,1,8.069058944144755e-7,true
20,1,8.069058944144755e-7,true
21,1,8.069058944144755e-7,true
22,1,8.069058944144755e-7,true
23,1,8.069058944144755e-7,true
24,2,1.613811788828951e-6,true
25,1,8.069058944144755e-7,true
26,1,8.069058944144755e-7,true
27,2,1.613811788828951e-6,true
28,1,8.069058944144755e-7,true
29,1,8.069058944144755e-7,true
49,1,8.069058944144755e-7,true
66,1,8.069058944144755e-7,true
82,1,8.069058944144755e-7,true
98,1,8.069058944144755e-7,true
113,1,8.069058944144755e-7,true
195,1,8.069058944144755e-7,true
