atom_count,record_count,percent_of_formula_records,contains_target
0,121442852,97.99295311330478,false
1,1810423,1.4608409900835382,true
2,447865,0.3613849084019391,true
3,110186,0.0889097328819534,true
4,50916,0.041084420520007436,true
5,15135,0.012212520711963088,true
6,18081,0.014589665476908133,true
7,6198,0.00500120273358092,true
8,7538,0.006082456632096316,true
9,2921,0.002356972117584683,true
10,3083,0.0024876908724798283,true
11,1537,0.0012402143597150489,true
12,2669,0.0021536318321922353,true
13,762,0.0006148622915438304,true
14,956,0.0007714020350602386,true
15,1086,0.0008762998013341205,true
16,1058,0.0008537064362905152,true
17,551,0.00044460514782237597,true
18,1017,0.0008206232946195216,true
19,892,0.0007197600578177122,true
20,716,0.0005777446204007644,true
21,345,0.0002783825335729941,true
22,300,0.00024207176832434266,true
23,172,0.0001387878138392898,true
24,339,0.0002735410982065072,true
25,164,0.00013233256668397398,true
26,121,0.00009763561322415153,true
27,135,0.00010893229574595421,true
28,147,0.00011861516647892791,true
29,63,0.00005083507134811196,true
30,162,0.00013071875489514503,true
31,63,0.00005083507134811196,true
32,96,0.00007746296586378966,true
33,60,0.00004841435366486854,true
34,46,0.00003711767114306588,true
35,66,0.00005325578903135538,true
36,48,0.00003873148293189483,true
37,38,0.00003066242398775007,true
38,37,0.000029855518093335595,true
39,31,0.000025014082726848746,true
40,37,0.000029855518093335595,true
41,25,0.000020172647360361886,true
42,33,0.00002662789451567769,true
43,26,0.000020979553254776363,true
44,52,0.000041959106509552726,true
45,25,0.000020172647360361886,true
46,32,0.000025820988621263216,true
47,22,0.00001775192967711846,true
48,23,0.00001855883557153294,true
49,16,0.000012910494310631608,true
50,23,0.00001855883557153294,true
51,27,0.00002178645914919084,true
52,20,0.000016138117888289514,true
53,26,0.000020979553254776363,true
54,21,0.000016945023782703987,true
55,26,0.000020979553254776363,true
56,12,9.682870732973708e-6,true
57,23,0.00001855883557153294,true
58,17,0.000013717400205046084,true
59,21,0.000016945023782703987,true
60,22,0.00001775192967711846,true
61,31,0.000025014082726848746,true
62,11,8.87596483855923e-6,true
63,15,0.000012103588416217134,true
64,15,0.000012103588416217134,true
65,16,0.000012910494310631608,true
66,18,0.000014524306099460559,true
67,31,0.000025014082726848746,true
68,11,8.87596483855923e-6,true
69,15,0.000012103588416217134,true
70,12,9.682870732973708e-6,true
71,16,0.000012910494310631608,true
72,11,8.87596483855923e-6,true
73,15,0.000012103588416217134,true
74,15,0.000012103588416217134,true
75,13,0.000010489776627388182,true
76,15,0.000012103588416217134,true
77,11,8.87596483855923e-6,true
78,7,5.648341260901329e-6,true
79,9,7.2621530497302796e-6,true
80,13,0.000010489776627388182,true
81,20,0.000016138117888289514,true
82,6,4.841435366486854e-6,true
83,13,0.000010489776627388182,true
84,17,0.000013717400205046084,true
85,8,6.455247155315804e-6,true
86,8,6.455247155315804e-6,true
87,8,6.455247155315804e-6,true
88,7,5.648341260901329e-6,true
89,6,4.841435366486854e-6,true
90,13,0.000010489776627388182,true
91,16,0.000012910494310631608,true
92,10,8.069058944144757e-6,true
93,7,5.648341260901329e-6,true
94,17,0.000013717400205046084,true
95,9,7.2621530497302796e-6,true
96,15,0.000012103588416217134,true
97,14,0.000011296682521802659,true
98,5,4.034529472072378e-6,true
99,11,8.87596483855923e-6,true
100,12,9.682870732973708e-6,true
101,15,0.000012103588416217134,true
102,11,8.87596483855923e-6,true
103,15,0.000012103588416217134,true
104,18,0.000014524306099460559,true
105,11,8.87596483855923e-6,true
106,8,6.455247155315804e-6,true
107,12,9.682870732973708e-6,true
108,14,0.000011296682521802659,true
109,18,0.000014524306099460559,true
110,12,9.682870732973708e-6,true
111,10,8.069058944144757e-6,true
112,15,0.000012103588416217134,true
113,9,7.2621530497302796e-6,true
114,8,6.455247155315804e-6,true
115,8,6.455247155315804e-6,true
116,12,9.682870732973708e-6,true
117,8,6.455247155315804e-6,true
118,9,7.2621530497302796e-6,true
119,7,5.648341260901329e-6,true
120,6,4.841435366486854e-6,true
121,7,5.648341260901329e-6,true
122,6,4.841435366486854e-6,true
123,6,4.841435366486854e-6,true
124,4,3.227623577657902e-6,true
125,7,5.648341260901329e-6,true
126,2,1.613811788828951e-6,true
127,4,3.227623577657902e-6,true
128,1,8.069058944144755e-7,true
