atom_count,record_count,percent_of_formula_records,contains_target
0,123912004,99.98532641631007,false
1,16498,0.013312333446050017,true
2,1095,0.0008835619543838507,true
3,353,0.0002848377807283098,true
4,96,0.00007746296586378966,true
5,51,0.00004115220061513825,true
6,31,0.000025014082726848746,true
7,9,7.2621530497302796e-6,true
8,9,7.2621530497302796e-6,true
9,15,0.000012103588416217134,true
10,5,4.034529472072378e-6,true
11,2,1.613811788828951e-6,true
12,4,3.227623577657902e-6,true
16,1,8.069058944144755e-7,true
17,2,1.613811788828951e-6,true
18,3,2.420717683243427e-6,true
23,1,8.069058944144755e-7,true
24,1,8.069058944144755e-7,true
25,3,2.420717683243427e-6,true
27,1,8.069058944144755e-7,true
28,1,8.069058944144755e-7,true
40,1,8.069058944144755e-7,true
55,1,8.069058944144755e-7,true
85,1,8.069058944144755e-7,true
124,1,8.069058944144755e-7,true
