atom_count,record_count,percent_of_formula_records,contains_target
0,123881571,99.96076984922536,false
1,40783,0.03290804309190556,true
2,4065,0.003280072460794843,true
3,673,0.0005430476669409421,true
4,1338,0.0010796400867265684,true
5,682,0.0005503098199906723,true
6,366,0.00029532755735569807,true
7,29,0.00002340027093801979,true
8,407,0.0003284106990266916,true
9,11,8.87596483855923e-6,true
10,111,0.00008956655428000678,true
11,9,7.2621530497302796e-6,true
12,49,0.000039538388826309305,true
13,3,2.420717683243427e-6,true
14,6,4.841435366486854e-6,true
16,12,9.682870732973708e-6,true
18,1,8.069058944144755e-7,true
20,17,0.000013717400205046084,true
21,6,4.841435366486854e-6,true
22,2,1.613811788828951e-6,true
30,1,8.069058944144755e-7,true
35,1,8.069058944144755e-7,true
38,1,8.069058944144755e-7,true
39,1,8.069058944144755e-7,true
41,3,2.420717683243427e-6,true
50,1,8.069058944144755e-7,true
54,1,8.069058944144755e-7,true
75,1,8.069058944144755e-7,true
76,1,8.069058944144755e-7,true
80,1,8.069058944144755e-7,true
90,1,8.069058944144755e-7,true
100,1,8.069058944144755e-7,true
113,1,8.069058944144755e-7,true
114,1,8.069058944144755e-7,true
118,24,0.000019365741465947416,true
120,3,2.420717683243427e-6,true
132,1,8.069058944144755e-7,true
229,1,8.069058944144755e-7,true
230,1,8.069058944144755e-7,true
233,1,8.069058944144755e-7,true
234,1,8.069058944144755e-7,true
