atom_count,record_count,percent_of_formula_records,contains_target
0,123790751,99.88748665589463,false
1,107546,0.08677950132069918,true
2,8526,0.006879679655777819,true
3,6124,0.004941491697394248,true
4,9061,0.007311374309289563,true
5,4816,0.0038860587875001146,true
6,1723,0.0013902988560761415,true
7,306,0.00024691320369082953,true
8,733,0.0005914620206058105,true
9,115,0.00009279417785766469,true
10,206,0.00016622261424938196,true
11,33,0.00002662789451567769,true
12,85,0.00006858700102523042,true
13,11,8.87596483855923e-6,true
14,26,0.000020979553254776363,true
15,6,4.841435366486854e-6,true
16,38,0.00003066242398775007,true
17,4,3.227623577657902e-6,true
18,3,2.420717683243427e-6,true
19,3,2.420717683243427e-6,true
20,18,0.000014524306099460559,true
21,2,1.613811788828951e-6,true
22,3,2.420717683243427e-6,true
23,1,8.069058944144755e-7,true
24,1,8.069058944144755e-7,true
25,2,1.613811788828951e-6,true
26,1,8.069058944144755e-7,true
27,3,2.420717683243427e-6,true
29,1,8.069058944144755e-7,true
30,2,1.613811788828951e-6,true
31,1,8.069058944144755e-7,true
36,1,8.069058944144755e-7,true
39,1,8.069058944144755e-7,true
42,1,8.069058944144755e-7,true
46,1,8.069058944144755e-7,true
85,1,8.069058944144755e-7,true
89,1,8.069058944144755e-7,true
90,1,8.069058944144755e-7,true
93,1,8.069058944144755e-7,true
97,1,8.069058944144755e-7,true
113,1,8.069058944144755e-7,true
114,1,8.069058944144755e-7,true
116,1,8.069058944144755e-7,true
117,1,8.069058944144755e-7,true
123,1,8.069058944144755e-7,true
151,1,8.069058944144755e-7,true
152,4,3.227623577657902e-6,true
153,3,2.420717683243427e-6,true
181,1,8.069058944144755e-7,true
182,1,8.069058944144755e-7,true
185,1,8.069058944144755e-7,true
186,1,8.069058944144755e-7,true
189,1,8.069058944144755e-7,true
190,1,8.069058944144755e-7,true
225,1,8.069058944144755e-7,true
226,1,8.069058944144755e-7,true
229,1,8.069058944144755e-7,true
230,1,8.069058944144755e-7,true
233,1,8.069058944144755e-7,true
234,1,8.069058944144755e-7,true
250,1,8.069058944144755e-7,true
279,1,8.069058944144755e-7,true
435,1,8.069058944144755e-7,true
489,1,8.069058944144755e-7,true
