atom_count,record_count,percent_of_formula_records,contains_target
0,123920081,99.99184379521925,false
1,8603,0.006941811409647733,true
2,999,0.000806098988520061,true
3,195,0.00015734664941082275,true
4,147,0.00011861516647892791,true
5,28,0.000022593365043605318,true
6,69,0.000055676506714598815,true
7,16,0.000012910494310631608,true
8,12,9.682870732973708e-6,true
9,12,9.682870732973708e-6,true
10,7,5.648341260901329e-6,true
11,4,3.227623577657902e-6,true
12,5,4.034529472072378e-6,true
13,3,2.420717683243427e-6,true
16,4,3.227623577657902e-6,true
25,1,8.069058944144755e-7,true
26,1,8.069058944144755e-7,true
68,1,8.069058944144755e-7,true
87,1,8.069058944144755e-7,true
