atom_count,record_count,percent_of_formula_records,contains_target
0,123925067,99.99586702800882,false
1,3372,0.0027208866759656117,true
2,768,0.0006197037269103173,true
3,345,0.0002783825335729941,true
4,193,0.00015573283762199377,true
5,90,0.0000726215304973028,true
6,112,0.00009037346017442127,true
7,29,0.00002340027093801979,true
8,35,0.000028241706304506644,true
9,22,0.00001775192967711846,true
10,11,8.87596483855923e-6,true
11,15,0.000012103588416217134,true
12,20,0.000016138117888289514,true
13,3,2.420717683243427e-6,true
14,13,0.000010489776627388182,true
15,5,4.034529472072378e-6,true
16,4,3.227623577657902e-6,true
17,5,4.034529472072378e-6,true
18,6,4.841435366486854e-6,true
19,3,2.420717683243427e-6,true
20,3,2.420717683243427e-6,true
21,1,8.069058944144755e-7,true
22,4,3.227623577657902e-6,true
23,1,8.069058944144755e-7,true
24,5,4.034529472072378e-6,true
25,2,1.613811788828951e-6,true
26,2,1.613811788828951e-6,true
27,1,8.069058944144755e-7,true
28,2,1.613811788828951e-6,true
29,1,8.069058944144755e-7,true
31,1,8.069058944144755e-7,true
32,1,8.069058944144755e-7,true
33,1,8.069058944144755e-7,true
34,1,8.069058944144755e-7,true
35,2,1.613811788828951e-6,true
36,2,1.613811788828951e-6,true
37,1,8.069058944144755e-7,true
38,1,8.069058944144755e-7,true
39,2,1.613811788828951e-6,true
40,1,8.069058944144755e-7,true
41,1,8.069058944144755e-7,true
42,1,8.069058944144755e-7,true
43,1,8.069058944144755e-7,true
44,1,8.069058944144755e-7,true
45,1,8.069058944144755e-7,true
46,1,8.069058944144755e-7,true
47,1,8.069058944144755e-7,true
48,1,8.069058944144755e-7,true
49,1,8.069058944144755e-7,true
50,1,8.069058944144755e-7,true
51,1,8.069058944144755e-7,true
52,1,8.069058944144755e-7,true
53,1,8.069058944144755e-7,true
54,1,8.069058944144755e-7,true
55,1,8.069058944144755e-7,true
56,2,1.613811788828951e-6,true
57,1,8.069058944144755e-7,true
58,1,8.069058944144755e-7,true
59,2,1.613811788828951e-6,true
61,1,8.069058944144755e-7,true
62,1,8.069058944144755e-7,true
63,1,8.069058944144755e-7,true
64,1,8.069058944144755e-7,true
65,2,1.613811788828951e-6,true
153,1,8.069058944144755e-7,true
167,1,8.069058944144755e-7,true
187,1,8.069058944144755e-7,true
198,1,8.069058944144755e-7,true
213,1,8.069058944144755e-7,true
233,1,8.069058944144755e-7,true
247,1,8.069058944144755e-7,true
280,1,8.069058944144755e-7,true
417,1,8.069058944144755e-7,true
