atom_count,record_count,percent_of_formula_records,contains_target
0,123915345,99.98802228890331,false
1,11685,0.009428695376233146,true
2,2396,0.0019333465230170835,true
3,249,0.0002009195677092044,true
4,310,0.0002501408272684874,true
5,71,0.00005729031850342777,true
6,60,0.00004841435366486854,true
7,14,0.000011296682521802659,true
8,26,0.000020979553254776363,true
9,1,8.069058944144755e-7,true
10,4,3.227623577657902e-6,true
11,6,4.841435366486854e-6,true
12,8,6.455247155315804e-6,true
13,6,4.841435366486854e-6,true
15,2,1.613811788828951e-6,true
16,2,1.613811788828951e-6,true
18,1,8.069058944144755e-7,true
123,3,2.420717683243427e-6,true
