atom_count,record_count,percent_of_formula_records,contains_target
0,123891229,99.96856294635361,false
1,32697,0.026383402029670107,true
2,3513,0.002834660407078053,true
3,916,0.0007391257992836595,true
4,638,0.0005148059606364354,true
5,418,0.00033728666386525076,true
6,494,0.00039861151184075093,true
7,112,0.00009037346017442127,true
8,105,0.00008472511891351994,true
9,28,0.000022593365043605318,true
10,10,8.069058944144757e-6,true
11,6,4.841435366486854e-6,true
12,4,3.227623577657902e-6,true
13,4,3.227623577657902e-6,true
14,1,8.069058944144755e-7,true
15,3,2.420717683243427e-6,true
16,1,8.069058944144755e-7,true
20,1,8.069058944144755e-7,true
21,2,1.613811788828951e-6,true
22,2,1.613811788828951e-6,true
23,1,8.069058944144755e-7,true
24,2,1.613811788828951e-6,true
75,2,1.613811788828951e-6,true
