atom_count,record_count,percent_of_formula_records,contains_target
0,123911172,99.98465507060592,false
1,15988,0.012900811439898636,true
2,2022,0.0016315637185060695,true
3,385,0.0003106587693495731,true
4,235,0.00018962288518740175,true
5,59,0.00004760744777045406,true
6,243,0.00019607813234271757,true
7,24,0.000019365741465947416,true
8,29,0.00002340027093801979,true
9,9,7.2621530497302796e-6,true
10,5,4.034529472072378e-6,true
11,3,2.420717683243427e-6,true
12,2,1.613811788828951e-6,true
16,1,8.069058944144755e-7,true
18,3,2.420717683243427e-6,true
20,2,1.613811788828951e-6,true
21,1,8.069058944144755e-7,true
22,1,8.069058944144755e-7,true
28,1,8.069058944144755e-7,true
36,3,2.420717683243427e-6,true
43,1,8.069058944144755e-7,true
