atom_count,record_count,percent_of_formula_records,contains_target
0,122122790,98.54159909334118,false
1,1333062,1.0756555854199497,true
2,285740,0.23056529026999223,true
3,71477,0.05767521261506347,true
4,52722,0.04254169256531998,true
5,15480,0.01249090324553608,true
6,14939,0.01205436715665785,true
7,5062,0.004084557637526075,true
8,9008,0.007268608296885596,true
9,2989,0.0024118417184048674,true
10,3384,0.0027305695466985852,true
11,1147,0.0009255210608934035,true
12,2531,0.0020422788187630376,true
13,955,0.0007705951291658241,true
14,950,0.0007665605996937518,true
15,673,0.0005430476669409421,true
16,1431,0.0011546823349071144,true
17,402,0.0003243761695546192,true
18,588,0.00047446066591571163,true
19,252,0.00020334028539244783,true
20,565,0.0004559018303441787,true
21,254,0.0002049540971812768,true
22,231,0.00018639526160974386,true
23,154,0.00012426350773982924,true
24,397,0.0003203416400825468,true
25,134,0.00010812538985153973,true
26,217,0.0001750985790879412,true
27,148,0.00011942207237334238,true
28,177,0.00014282234331136216,true
29,81,0.00006535937744757251,true
30,169,0.00013636709615604637,true
31,103,0.00008311130712469098,true
32,233,0.0001880090733985728,true
33,53,0.00004276601240396721,true
34,75,0.000060517942081085665,true
35,52,0.000041959106509552726,true
36,107,0.00008633893070234889,true
37,39,0.000031469329882164546,true
38,44,0.00003550385935423692,true
39,43,0.00003469695345982245,true
40,92,0.00007423534228613175,true
41,54,0.00004357291829838168,true
42,113,0.00009118036606883573,true
43,20,0.000016138117888289514,true
44,38,0.00003066242398775007,true
45,58,0.00004680054187603958,true
46,41,0.000033083141670993494,true
47,34,0.000027434800410092167,true
48,44,0.00003550385935423692,true
49,29,0.00002340027093801979,true
50,53,0.00004276601240396721,true
51,26,0.000020979553254776363,true
52,63,0.00005083507134811196,true
53,11,8.87596483855923e-6,true
54,21,0.000016945023782703987,true
55,20,0.000016138117888289514,true
56,12,9.682870732973708e-6,true
57,11,8.87596483855923e-6,true
58,25,0.000020172647360361886,true
59,10,8.069058944144757e-6,true
60,24,0.000019365741465947416,true
61,29,0.00002340027093801979,true
62,47,0.00003792457703748035,true
63,16,0.000012910494310631608,true
64,10,8.069058944144757e-6,true
65,38,0.00003066242398775007,true
66,14,0.000011296682521802659,true
67,16,0.000012910494310631608,true
68,18,0.000014524306099460559,true
69,10,8.069058944144757e-6,true
70,15,0.000012103588416217134,true
71,5,4.034529472072378e-6,true
72,7,5.648341260901329e-6,true
73,6,4.841435366486854e-6,true
74,10,8.069058944144757e-6,true
75,7,5.648341260901329e-6,true
76,10,8.069058944144757e-6,true
77,27,0.00002178645914919084,true
78,3,2.420717683243427e-6,true
79,3,2.420717683243427e-6,true
80,11,8.87596483855923e-6,true
81,5,4.034529472072378e-6,true
82,20,0.000016138117888289514,true
83,4,3.227623577657902e-6,true
84,12,9.682870732973708e-6,true
85,10,8.069058944144757e-6,true
86,2,1.613811788828951e-6,true
87,6,4.841435366486854e-6,true
88,14,0.000011296682521802659,true
89,1,8.069058944144755e-7,true
90,3,2.420717683243427e-6,true
91,3,2.420717683243427e-6,true
92,19,0.000015331211993875036,true
94,1,8.069058944144755e-7,true
95,1,8.069058944144755e-7,true
96,2,1.613811788828951e-6,true
97,1,8.069058944144755e-7,true
98,1,8.069058944144755e-7,true
99,1,8.069058944144755e-7,true
100,9,7.2621530497302796e-6,true
101,6,4.841435366486854e-6,true
102,5,4.034529472072378e-6,true
103,1,8.069058944144755e-7,true
104,5,4.034529472072378e-6,true
106,3,2.420717683243427e-6,true
107,2,1.613811788828951e-6,true
108,2,1.613811788828951e-6,true
109,2,1.613811788828951e-6,true
110,2,1.613811788828951e-6,true
111,2,1.613811788828951e-6,true
112,1,8.069058944144755e-7,true
113,1,8.069058944144755e-7,true
115,2,1.613811788828951e-6,true
116,1,8.069058944144755e-7,true
121,1,8.069058944144755e-7,true
122,2,1.613811788828951e-6,true
125,1,8.069058944144755e-7,true
126,2,1.613811788828951e-6,true
127,2,1.613811788828951e-6,true
135,2,1.613811788828951e-6,true
137,1,8.069058944144755e-7,true
138,2,1.613811788828951e-6,true
142,3,2.420717683243427e-6,true
146,2,1.613811788828951e-6,true
147,2,1.613811788828951e-6,true
148,2,1.613811788828951e-6,true
151,1,8.069058944144755e-7,true
152,2,1.613811788828951e-6,true
160,2,1.613811788828951e-6,true
162,2,1.613811788828951e-6,true
164,3,2.420717683243427e-6,true
170,2,1.613811788828951e-6,true
171,2,1.613811788828951e-6,true
172,2,1.613811788828951e-6,true
174,3,2.420717683243427e-6,true
176,2,1.613811788828951e-6,true
181,2,1.613811788828951e-6,true
188,3,2.420717683243427e-6,true
189,2,1.613811788828951e-6,true
190,2,1.613811788828951e-6,true
192,2,1.613811788828951e-6,true
215,2,1.613811788828951e-6,true
232,1,8.069058944144755e-7,true
240,1,8.069058944144755e-7,true
244,3,2.420717683243427e-6,true
245,1,8.069058944144755e-7,true
249,1,8.069058944144755e-7,true
250,2,1.613811788828951e-6,true
251,1,8.069058944144755e-7,true
323,1,8.069058944144755e-7,true
328,1,8.069058944144755e-7,true
402,3,2.420717683243427e-6,true
403,1,8.069058944144755e-7,true
410,3,2.420717683243427e-6,true
427,2,1.613811788828951e-6,true
431,1,8.069058944144755e-7,true
440,2,1.613811788828951e-6,true
