atom_count,record_count,percent_of_formula_records,contains_target
0,123821459,99.91226512210032,false
1,94969,0.07663104588664833,true
2,11292,0.009111581359728258,true
3,1302,0.0010505914745276472,true
4,680,0.0005486960082018434,true
5,157,0.00012668422542307266,true
6,143,0.00011538754290127,true
7,45,0.0000363107652486514,true
8,38,0.00003066242398775007,true
9,21,0.000016945023782703987,true
10,18,0.000014524306099460559,true
11,7,5.648341260901329e-6,true
12,17,0.000013717400205046084,true
13,2,1.613811788828951e-6,true
15,4,3.227623577657902e-6,true
16,4,3.227623577657902e-6,true
17,7,5.648341260901329e-6,true
18,14,0.000011296682521802659,true
19,1,8.069058944144755e-7,true
20,2,1.613811788828951e-6,true
24,2,1.613811788828951e-6,true
25,1,8.069058944144755e-7,true
26,1,8.069058944144755e-7,true
28,2,1.613811788828951e-6,true
39,1,8.069058944144755e-7,true
