atom_count,record_count,percent_of_formula_records,contains_target
0,123909770,99.98352378854194,false
1,17149,0.013837629183313842,true
2,2371,0.0019131738756567216,true
3,331,0.00026708585105119146,true
4,246,0.000198498850025961,true
5,74,0.00005971103618667119,true
6,109,0.00008795274249117784,true
7,13,0.000010489776627388182,true
8,46,0.00003711767114306588,true
9,17,0.000013717400205046084,true
10,13,0.000010489776627388182,true
11,2,1.613811788828951e-6,true
12,16,0.000012910494310631608,true
13,4,3.227623577657902e-6,true
14,10,8.069058944144757e-6,true
15,5,4.034529472072378e-6,true
16,7,5.648341260901329e-6,true
19,2,1.613811788828951e-6,true
20,1,8.069058944144755e-7,true
25,2,1.613811788828951e-6,true
131,1,8.069058944144755e-7,true
