atom_count,record_count,percent_of_formula_records,contains_target
0,123908988,99.98289278813252,false
1,18151,0.014646148889517147,true
2,1580,0.0012749113131748713,true
3,509,0.00041071510025696807,true
4,309,0.000249333921374073,true
5,138,0.00011135301342919763,true
6,117,0.00009440798964649364,true
7,48,0.00003873148293189483,true
8,35,0.000028241706304506644,true
9,32,0.000025820988621263216,true
10,25,0.000020172647360361886,true
11,12,9.682870732973708e-6,true
12,23,0.00001855883557153294,true
13,11,8.87596483855923e-6,true
14,11,8.87596483855923e-6,true
15,21,0.000016945023782703987,true
16,11,8.87596483855923e-6,true
17,3,2.420717683243427e-6,true
18,8,6.455247155315804e-6,true
19,5,4.034529472072378e-6,true
20,7,5.648341260901329e-6,true
21,7,5.648341260901329e-6,true
22,2,1.613811788828951e-6,true
23,2,1.613811788828951e-6,true
24,7,5.648341260901329e-6,true
25,4,3.227623577657902e-6,true
26,2,1.613811788828951e-6,true
27,11,8.87596483855923e-6,true
28,10,8.069058944144757e-6,true
29,6,4.841435366486854e-6,true
30,3,2.420717683243427e-6,true
31,2,1.613811788828951e-6,true
32,2,1.613811788828951e-6,true
33,2,1.613811788828951e-6,true
34,5,4.034529472072378e-6,true
35,2,1.613811788828951e-6,true
36,4,3.227623577657902e-6,true
37,2,1.613811788828951e-6,true
38,1,8.069058944144755e-7,true
39,2,1.613811788828951e-6,true
40,1,8.069058944144755e-7,true
42,1,8.069058944144755e-7,true
44,2,1.613811788828951e-6,true
45,5,4.034529472072378e-6,true
46,2,1.613811788828951e-6,true
47,2,1.613811788828951e-6,true
48,1,8.069058944144755e-7,true
49,1,8.069058944144755e-7,true
50,1,8.069058944144755e-7,true
51,2,1.613811788828951e-6,true
56,2,1.613811788828951e-6,true
57,1,8.069058944144755e-7,true
58,1,8.069058944144755e-7,true
59,1,8.069058944144755e-7,true
60,1,8.069058944144755e-7,true
61,1,8.069058944144755e-7,true
75,1,8.069058944144755e-7,true
78,1,8.069058944144755e-7,true
79,1,8.069058944144755e-7,true
80,1,8.069058944144755e-7,true
85,1,8.069058944144755e-7,true
86,1,8.069058944144755e-7,true
87,1,8.069058944144755e-7,true
88,1,8.069058944144755e-7,true
95,1,8.069058944144755e-7,true
99,1,8.069058944144755e-7,true
101,2,1.613811788828951e-6,true
114,2,1.613811788828951e-6,true
126,4,3.227623577657902e-6,true
128,2,1.613811788828951e-6,true
129,1,8.069058944144755e-7,true
131,1,8.069058944144755e-7,true
135,1,8.069058944144755e-7,true
141,3,2.420717683243427e-6,true
142,1,8.069058944144755e-7,true
151,1,8.069058944144755e-7,true
152,1,8.069058944144755e-7,true
153,1,8.069058944144755e-7,true
158,1,8.069058944144755e-7,true
167,1,8.069058944144755e-7,true
174,1,8.069058944144755e-7,true
192,1,8.069058944144755e-7,true
200,1,8.069058944144755e-7,true
204,1,8.069058944144755e-7,true
205,1,8.069058944144755e-7,true
207,1,8.069058944144755e-7,true
208,1,8.069058944144755e-7,true
211,1,8.069058944144755e-7,true
251,2,1.613811788828951e-6,true
282,1,8.069058944144755e-7,true
309,1,8.069058944144755e-7,true
