atom_count,record_count,percent_of_formula_records,contains_target
0,123886387,99.96465590801286,false
1,33950,0.027394455115371443,true
2,4275,0.003449522698621883,true
3,1604,0.001294277054640819,true
4,956,0.0007714020350602386,true
5,448,0.0003614938406976851,true
6,535,0.00043169465351174444,true
7,197,0.00015896046119965167,true
8,223,0.00017994001445442804,true
9,172,0.0001387878138392898,true
10,225,0.00018155382624325701,true
11,139,0.00011215991932361209,true
12,292,0.00023561652116902684,true
13,36,0.000029048612198921118,true
14,43,0.00003469695345982245,true
15,56,0.000045186730087210635,true
16,49,0.000039538388826309305,true
17,44,0.00003550385935423692,true
18,82,0.00006616628334198699,true
19,16,0.000012910494310631608,true
20,26,0.000020979553254776363,true
21,32,0.000025820988621263216,true
22,10,8.069058944144757e-6,true
23,10,8.069058944144757e-6,true
24,28,0.000022593365043605318,true
25,10,8.069058944144757e-6,true
26,5,4.034529472072378e-6,true
27,13,0.000010489776627388182,true
28,8,6.455247155315804e-6,true
29,5,4.034529472072378e-6,true
30,16,0.000012910494310631608,true
31,11,8.87596483855923e-6,true
32,7,5.648341260901329e-6,true
33,5,4.034529472072378e-6,true
34,4,3.227623577657902e-6,true
35,6,4.841435366486854e-6,true
36,9,7.2621530497302796e-6,true
37,3,2.420717683243427e-6,true
38,6,4.841435366486854e-6,true
39,4,3.227623577657902e-6,true
40,4,3.227623577657902e-6,true
41,6,4.841435366486854e-6,true
42,15,0.000012103588416217134,true
43,6,4.841435366486854e-6,true
44,3,2.420717683243427e-6,true
45,8,6.455247155315804e-6,true
46,5,4.034529472072378e-6,true
47,3,2.420717683243427e-6,true
48,4,3.227623577657902e-6,true
49,2,1.613811788828951e-6,true
50,2,1.613811788828951e-6,true
51,3,2.420717683243427e-6,true
52,4,3.227623577657902e-6,true
53,2,1.613811788828951e-6,true
54,2,1.613811788828951e-6,true
55,3,2.420717683243427e-6,true
56,4,3.227623577657902e-6,true
57,4,3.227623577657902e-6,true
58,1,8.069058944144755e-7,true
59,3,2.420717683243427e-6,true
60,2,1.613811788828951e-6,true
61,1,8.069058944144755e-7,true
62,2,1.613811788828951e-6,true
63,2,1.613811788828951e-6,true
64,2,1.613811788828951e-6,true
65,3,2.420717683243427e-6,true
66,3,2.420717683243427e-6,true
68,1,8.069058944144755e-7,true
70,3,2.420717683243427e-6,true
72,12,9.682870732973708e-6,true
73,1,8.069058944144755e-7,true
74,2,1.613811788828951e-6,true
77,2,1.613811788828951e-6,true
78,1,8.069058944144755e-7,true
80,1,8.069058944144755e-7,true
82,3,2.420717683243427e-6,true
83,4,3.227623577657902e-6,true
84,4,3.227623577657902e-6,true
85,2,1.613811788828951e-6,true
86,2,1.613811788828951e-6,true
87,1,8.069058944144755e-7,true
90,2,1.613811788828951e-6,true
93,1,8.069058944144755e-7,true
99,1,8.069058944144755e-7,true
100,2,1.613811788828951e-6,true
102,1,8.069058944144755e-7,true
104,1,8.069058944144755e-7,true
107,1,8.069058944144755e-7,true
109,3,2.420717683243427e-6,true
116,4,3.227623577657902e-6,true
117,1,8.069058944144755e-7,true
119,1,8.069058944144755e-7,true
120,1,8.069058944144755e-7,true
125,3,2.420717683243427e-6,true
126,1,8.069058944144755e-7,true
131,1,8.069058944144755e-7,true
133,1,8.069058944144755e-7,true
136,2,1.613811788828951e-6,true
137,2,1.613811788828951e-6,true
138,4,3.227623577657902e-6,true
139,3,2.420717683243427e-6,true
143,1,8.069058944144755e-7,true
146,1,8.069058944144755e-7,true
157,1,8.069058944144755e-7,true
160,1,8.069058944144755e-7,true
161,1,8.069058944144755e-7,true
164,2,1.613811788828951e-6,true
165,1,8.069058944144755e-7,true
167,1,8.069058944144755e-7,true
169,1,8.069058944144755e-7,true
170,2,1.613811788828951e-6,true
173,1,8.069058944144755e-7,true
175,1,8.069058944144755e-7,true
176,1,8.069058944144755e-7,true
181,1,8.069058944144755e-7,true
183,1,8.069058944144755e-7,true
185,1,8.069058944144755e-7,true
192,1,8.069058944144755e-7,true
194,1,8.069058944144755e-7,true
197,1,8.069058944144755e-7,true
198,1,8.069058944144755e-7,true
200,1,8.069058944144755e-7,true
204,2,1.613811788828951e-6,true
208,2,1.613811788828951e-6,true
210,1,8.069058944144755e-7,true
211,1,8.069058944144755e-7,true
212,1,8.069058944144755e-7,true
213,1,8.069058944144755e-7,true
215,1,8.069058944144755e-7,true
216,1,8.069058944144755e-7,true
220,1,8.069058944144755e-7,true
222,1,8.069058944144755e-7,true
223,5,4.034529472072378e-6,true
224,1,8.069058944144755e-7,true
225,1,8.069058944144755e-7,true
226,2,1.613811788828951e-6,true
227,1,8.069058944144755e-7,true
237,1,8.069058944144755e-7,true
241,5,4.034529472072378e-6,true
245,1,8.069058944144755e-7,true
246,1,8.069058944144755e-7,true
247,1,8.069058944144755e-7,true
260,1,8.069058944144755e-7,true
268,1,8.069058944144755e-7,true
316,1,8.069058944144755e-7,true
354,1,8.069058944144755e-7,true
375,1,8.069058944144755e-7,true
427,1,8.069058944144755e-7,true
449,1,8.069058944144755e-7,true
450,1,8.069058944144755e-7,true
486,2,1.613811788828951e-6,true
487,1,8.069058944144755e-7,true
525,1,8.069058944144755e-7,true
530,1,8.069058944144755e-7,true
574,1,8.069058944144755e-7,true
