atom_count,record_count,percent_of_formula_records,contains_target
0,123854262,99.93873405615479,false
1,67019,0.05407802613776373,true
2,5307,0.0042822495816576215,true
3,1868,0.0015073002107662404,true
4,868,0.0007003943163517648,true
5,314,0.0002533684508461453,true
6,214,0.00017267786140469778,true
7,54,0.00004357291829838168,true
8,82,0.00006616628334198699,true
9,32,0.000025820988621263216,true
10,24,0.000019365741465947416,true
11,13,0.000010489776627388182,true
12,28,0.000022593365043605318,true
14,1,8.069058944144755e-7,true
15,9,7.2621530497302796e-6,true
16,6,4.841435366486854e-6,true
17,1,8.069058944144755e-7,true
18,1,8.069058944144755e-7,true
19,3,2.420717683243427e-6,true
20,7,5.648341260901329e-6,true
21,3,2.420717683243427e-6,true
22,4,3.227623577657902e-6,true
23,1,8.069058944144755e-7,true
24,2,1.613811788828951e-6,true
25,4,3.227623577657902e-6,true
26,5,4.034529472072378e-6,true
27,3,2.420717683243427e-6,true
28,2,1.613811788828951e-6,true
29,1,8.069058944144755e-7,true
30,4,3.227623577657902e-6,true
32,1,8.069058944144755e-7,true
34,1,8.069058944144755e-7,true
35,1,8.069058944144755e-7,true
36,4,3.227623577657902e-6,true
37,1,8.069058944144755e-7,true
39,1,8.069058944144755e-7,true
40,1,8.069058944144755e-7,true
43,1,8.069058944144755e-7,true
44,2,1.613811788828951e-6,true
46,1,8.069058944144755e-7,true
47,1,8.069058944144755e-7,true
49,2,1.613811788828951e-6,true
50,2,1.613811788828951e-6,true
51,4,3.227623577657902e-6,true
54,1,8.069058944144755e-7,true
60,1,8.069058944144755e-7,true
62,2,1.613811788828951e-6,true
64,3,2.420717683243427e-6,true
68,1,8.069058944144755e-7,true
74,1,8.069058944144755e-7,true
76,1,8.069058944144755e-7,true
79,1,8.069058944144755e-7,true
85,2,1.613811788828951e-6,true
93,1,8.069058944144755e-7,true
94,1,8.069058944144755e-7,true
99,2,1.613811788828951e-6,true
100,7,5.648341260901329e-6,true
