atom_count,record_count,percent_of_formula_records,contains_target
0,123823629,99.91401610789119,false
1,98718,0.0796561360848082,true
2,5143,0.004149917014973648,true
3,1105,0.0008916310133279955,true
4,620,0.0005002816545369748,true
5,333,0.00026869966284002035,true
6,305,0.00024610629779641503,true
7,98,0.00007907677765261861,true
8,98,0.00007907677765261861,true
9,34,0.000027434800410092167,true
10,49,0.000039538388826309305,true
11,8,6.455247155315804e-6,true
12,25,0.000020172647360361886,true
13,4,3.227623577657902e-6,true
14,7,5.648341260901329e-6,true
15,2,1.613811788828951e-6,true
16,1,8.069058944144755e-7,true
17,2,1.613811788828951e-6,true
20,1,8.069058944144755e-7,true
21,1,8.069058944144755e-7,true
27,2,1.613811788828951e-6,true
30,1,8.069058944144755e-7,true
50,1,8.069058944144755e-7,true
70,1,8.069058944144755e-7,true
500,1,8.069058944144755e-7,true
